,averageRating,datePublished,genre,name,ratingCount,releasedCountry
15673,7.9,1984.0,Thriller,Fatal Vision,766.0,1984– 
15674,4.4,1999.0,Crime,Moving Targets,78.0,USA
15675,4.4,1999.0,Thriller,Moving Targets,78.0,USA
15676,4.4,2014.0,Crime,Zid,862.0,India
15677,4.4,2014.0,Thriller,Zid,862.0,India
15678,8.5,2006.0,Crime,The Departed,1034017.0,USA
15679,8.5,2006.0,Drama,The Departed,1034017.0,USA
15680,8.5,2006.0,Thriller,The Departed,1034017.0,USA
15681,6.3,1952.0,Drama,Warpath,286.0,USA
15682,6.3,1952.0,Western,Warpath,286.0,USA
15683,5.1,1987.0,Comedy,Spookies,1606.0,USA
15684,5.1,1987.0,Horror,Spookies,1606.0,USA
15691,5.8,2017.0,Horror,The Corrupt Half,27.0,USA
15692,5.8,2017.0,Thriller,The Corrupt Half,27.0,USA
